"model","rep","node","identity","blens","system"
"H1","34","6","93.4545454545455",0.2,"HA"
"H3","34","5","93.0909090909091",0.2,"HA"
"H3","34","6","92.9090909090909",0.2,"HA"
"best","35","5","92.1818181818182",0.2,"HA"
"best","35","6","92.9090909090909",0.2,"HA"
"poisson","35","5","91.2727272727273",0.2,"HA"
"poisson","35","6","89.8181818181818",0.2,"HA"
"H1","35","5","93.4545454545455",0.2,"HA"
"H1","35","6","94.5454545454545",0.2,"HA"
"H3","35","5","92.9090909090909",0.2,"HA"
"H3","35","6","94.5454545454545",0.2,"HA"
"best","36","5","94.7272727272727",0.2,"HA"
"best","36","6","94.1818181818182",0.2,"HA"
"poisson","36","5","92.5454545454545",0.2,"HA"
"poisson","36","6","91.8181818181818",0.2,"HA"
"H1","36","5","94.5454545454545",0.2,"HA"
"H1","36","6","94.9090909090909",0.2,"HA"
"H3","36","5","94.1818181818182",0.2,"HA"
"H3","36","6","94.5454545454545",0.2,"HA"
"best","37","5","92",0.2,"HA"
"best","37","6","92.9090909090909",0.2,"HA"
"poisson","37","5","91.6363636363636",0.2,"HA"
"poisson","37","6","91.6363636363636",0.2,"HA"
"H1","37","5","92.7272727272727",0.2,"HA"
"H1","37","6","93.0909090909091",0.2,"HA"
"H3","37","5","92.9090909090909",0.2,"HA"
"H3","37","6","93.0909090909091",0.2,"HA"
"best","38","5","93.2727272727273",0.2,"HA"
"best","38","6","91.6363636363636",0.2,"HA"
"poisson","38","5","90.9090909090909",0.2,"HA"
"poisson","38","6","89.8181818181818",0.2,"HA"
"H1","38","5","93.8181818181818",0.2,"HA"
"H1","38","6","92.5454545454545",0.2,"HA"
"H3","38","5","93.8181818181818",0.2,"HA"
"H3","38","6","92.1818181818182",0.2,"HA"
"best","39","5","91.8181818181818",0.2,"HA"
"best","39","6","93.6363636363636",0.2,"HA"
"poisson","39","5","91.0909090909091",0.2,"HA"
"poisson","39","6","91.2727272727273",0.2,"HA"
"H1","39","5","93.2727272727273",0.2,"HA"
"H1","39","6","93.6363636363636",0.2,"HA"
"H3","39","5","92.9090909090909",0.2,"HA"
"H3","39","6","93.4545454545455",0.2,"HA"
