"rep","node","model1","model2","identity","blens","system"
24,5,"poisson","ER",80.2631578947368,0.2,"SR"
24,6,"poisson","ER",92.1052631578947,0.2,"SR"
24,5,"poisson","kSR",82.8947368421053,0.2,"SR"
24,6,"poisson","kSR",92.1052631578947,0.2,"SR"
24,5,"ER","kSR",97.3684210526316,0.2,"SR"
24,6,"ER","kSR",100,0.2,"SR"
25,5,"best","poisson",93.4210526315789,0.2,"SR"
25,6,"best","poisson",97.3684210526316,0.2,"SR"
25,5,"best","ER",98.6842105263158,0.2,"SR"
25,6,"best","ER",100,0.2,"SR"
25,5,"best","kSR",100,0.2,"SR"
25,6,"best","kSR",100,0.2,"SR"
25,5,"poisson","ER",94.7368421052632,0.2,"SR"
25,6,"poisson","ER",97.3684210526316,0.2,"SR"
25,5,"poisson","kSR",93.4210526315789,0.2,"SR"
25,6,"poisson","kSR",97.3684210526316,0.2,"SR"
25,5,"ER","kSR",98.6842105263158,0.2,"SR"
25,6,"ER","kSR",100,0.2,"SR"
26,5,"best","poisson",100,0.2,"SR"
26,6,"best","poisson",96.0526315789474,0.2,"SR"
26,5,"best","ER",97.3684210526316,0.2,"SR"
26,6,"best","ER",98.6842105263158,0.2,"SR"
26,5,"best","kSR",97.3684210526316,0.2,"SR"
26,6,"best","kSR",98.6842105263158,0.2,"SR"
26,5,"poisson","ER",97.3684210526316,0.2,"SR"
26,6,"poisson","ER",96.0526315789474,0.2,"SR"
26,5,"poisson","kSR",97.3684210526316,0.2,"SR"
26,6,"poisson","kSR",96.0526315789474,0.2,"SR"
26,5,"ER","kSR",100,0.2,"SR"
26,6,"ER","kSR",100,0.2,"SR"
27,5,"best","poisson",97.3684210526316,0.2,"SR"
27,6,"best","poisson",96.0526315789474,0.2,"SR"
27,5,"best","ER",98.6842105263158,0.2,"SR"
27,6,"best","ER",98.6842105263158,0.2,"SR"
27,5,"best","kSR",98.6842105263158,0.2,"SR"
27,6,"best","kSR",98.6842105263158,0.2,"SR"
27,5,"poisson","ER",96.0526315789474,0.2,"SR"
27,6,"poisson","ER",94.7368421052632,0.2,"SR"
27,5,"poisson","kSR",96.0526315789474,0.2,"SR"
27,6,"poisson","kSR",94.7368421052632,0.2,"SR"
27,5,"ER","kSR",100,0.2,"SR"
27,6,"ER","kSR",100,0.2,"SR"
28,5,"best","poisson",98.6842105263158,0.2,"SR"
28,6,"best","poisson",100,0.2,"SR"
28,5,"best","ER",98.6842105263158,0.2,"SR"
28,6,"best","ER",98.6842105263158,0.2,"SR"
28,5,"best","kSR",98.6842105263158,0.2,"SR"
28,6,"best","kSR",98.6842105263158,0.2,"SR"
28,5,"poisson","ER",98.6842105263158,0.2,"SR"
28,6,"poisson","ER",98.6842105263158,0.2,"SR"
28,5,"poisson","kSR",98.6842105263158,0.2,"SR"
28,6,"poisson","kSR",98.6842105263158,0.2,"SR"
28,5,"ER","kSR",100,0.2,"SR"
28,6,"ER","kSR",100,0.2,"SR"
29,5,"best","poisson",97.3684210526316,0.2,"SR"
29,6,"best","poisson",92.1052631578947,0.2,"SR"
29,5,"best","ER",98.6842105263158,0.2,"SR"
29,6,"best","ER",96.0526315789474,0.2,"SR"
29,5,"best","kSR",100,0.2,"SR"
29,6,"best","kSR",94.7368421052632,0.2,"SR"
29,5,"poisson","ER",96.0526315789474,0.2,"SR"
29,6,"poisson","ER",92.1052631578947,0.2,"SR"
29,5,"poisson","kSR",97.3684210526316,0.2,"SR"
29,6,"poisson","kSR",93.4210526315789,0.2,"SR"
29,5,"ER","kSR",98.6842105263158,0.2,"SR"
29,6,"ER","kSR",98.6842105263158,0.2,"SR"
30,5,"best","poisson",97.3684210526316,0.2,"SR"
30,6,"best","poisson",96.0526315789474,0.2,"SR"
30,5,"best","ER",98.6842105263158,0.2,"SR"
30,6,"best","ER",98.6842105263158,0.2,"SR"
30,5,"best","kSR",98.6842105263158,0.2,"SR"
30,6,"best","kSR",97.3684210526316,0.2,"SR"
30,5,"poisson","ER",98.6842105263158,0.2,"SR"
30,6,"poisson","ER",94.7368421052632,0.2,"SR"
30,5,"poisson","kSR",98.6842105263158,0.2,"SR"
30,6,"poisson","kSR",96.0526315789474,0.2,"SR"
30,5,"ER","kSR",100,0.2,"SR"
30,6,"ER","kSR",98.6842105263158,0.2,"SR"
31,5,"best","poisson",96.0526315789474,0.2,"SR"
31,6,"best","poisson",94.7368421052632,0.2,"SR"
31,5,"best","ER",96.0526315789474,0.2,"SR"
31,6,"best","ER",94.7368421052632,0.2,"SR"
31,5,"best","kSR",96.0526315789474,0.2,"SR"
31,6,"best","kSR",98.6842105263158,0.2,"SR"
31,5,"poisson","ER",97.3684210526316,0.2,"SR"
31,6,"poisson","ER",96.0526315789474,0.2,"SR"
31,5,"poisson","kSR",97.3684210526316,0.2,"SR"
31,6,"poisson","kSR",96.0526315789474,0.2,"SR"
31,5,"ER","kSR",100,0.2,"SR"
31,6,"ER","kSR",96.0526315789474,0.2,"SR"
32,5,"best","poisson",97.3684210526316,0.2,"SR"
32,6,"best","poisson",89.4736842105263,0.2,"SR"
32,5,"best","ER",97.3684210526316,0.2,"SR"
32,6,"best","ER",93.4210526315789,0.2,"SR"
32,5,"best","kSR",96.0526315789474,0.2,"SR"
32,6,"best","kSR",93.4210526315789,0.2,"SR"
32,5,"poisson","ER",94.7368421052632,0.2,"SR"
32,6,"poisson","ER",93.4210526315789,0.2,"SR"
32,5,"poisson","kSR",96.0526315789474,0.2,"SR"
32,6,"poisson","kSR",92.1052631578947,0.2,"SR"
32,5,"ER","kSR",97.3684210526316,0.2,"SR"
32,6,"ER","kSR",98.6842105263158,0.2,"SR"
33,5,"best","poisson",96.0526315789474,0.2,"SR"
33,6,"best","poisson",96.0526315789474,0.2,"SR"
33,5,"best","ER",98.6842105263158,0.2,"SR"
33,6,"best","ER",98.6842105263158,0.2,"SR"
33,5,"best","kSR",98.6842105263158,0.2,"SR"
33,6,"best","kSR",98.6842105263158,0.2,"SR"
33,5,"poisson","ER",94.7368421052632,0.2,"SR"
33,6,"poisson","ER",94.7368421052632,0.2,"SR"
33,5,"poisson","kSR",94.7368421052632,0.2,"SR"
33,6,"poisson","kSR",94.7368421052632,0.2,"SR"
33,5,"ER","kSR",100,0.2,"SR"
33,6,"ER","kSR",100,0.2,"SR"
34,5,"best","poisson",97.3684210526316,0.2,"SR"
34,6,"best","poisson",97.3684210526316,0.2,"SR"
34,5,"best","ER",97.3684210526316,0.2,"SR"
34,6,"best","ER",94.7368421052632,0.2,"SR"
34,5,"best","kSR",98.6842105263158,0.2,"SR"
34,6,"best","kSR",98.6842105263158,0.2,"SR"
34,5,"poisson","ER",97.3684210526316,0.2,"SR"
34,6,"poisson","ER",94.7368421052632,0.2,"SR"
34,5,"poisson","kSR",96.0526315789474,0.2,"SR"
34,6,"poisson","kSR",96.0526315789474,0.2,"SR"
34,5,"ER","kSR",98.6842105263158,0.2,"SR"
34,6,"ER","kSR",96.0526315789474,0.2,"SR"
35,5,"best","poisson",96.0526315789474,0.2,"SR"
