"model","rep","mean_max","blens","system"
"best","29","0.890447368421053",0.2,"SR"
"best","30","0.928184210526316",0.2,"SR"
"best","30","0.89475",0.2,"SR"
"best","31","0.927697368421053",0.2,"SR"
"best","31","0.913276315789474",0.2,"SR"
"best","32","0.922907894736842",0.2,"SR"
"best","32","0.896947368421053",0.2,"SR"
"best","33","0.956302631578947",0.2,"SR"
"best","33","0.942263157894737",0.2,"SR"
"best","34","0.943",0.2,"SR"
"best","34","0.945671052631579",0.2,"SR"
"best","35","0.878684210526316",0.2,"SR"
"best","35","0.966434210526316",0.2,"SR"
"best","36","0.923657894736842",0.2,"SR"
"best","36","0.924802631578947",0.2,"SR"
"best","37","0.913842105263158",0.2,"SR"
"best","37","0.872592105263158",0.2,"SR"
"best","38","0.897618421052632",0.2,"SR"
"best","38","0.878263157894737",0.2,"SR"
"best","39","0.908447368421053",0.2,"SR"
"best","39","0.948394736842105",0.2,"SR"
"best","40","0.937171052631579",0.2,"SR"
"best","40","0.959052631578947",0.2,"SR"
"best","41","0.947973684210526",0.2,"SR"
"best","41","0.945105263157895",0.2,"SR"
"best","42","0.868131578947368",0.2,"SR"
"best","42","0.887842105263158",0.2,"SR"
"best","43","0.896263157894737",0.2,"SR"
"best","43","0.874776315789474",0.2,"SR"
"best","44","0.915105263157895",0.2,"SR"
"best","44","0.900723684210526",0.2,"SR"
"best","45","0.894328947368421",0.2,"SR"
"best","45","0.893921052631579",0.2,"SR"
"best","46","0.962092105263158",0.2,"SR"
"best","46","0.958723684210526",0.2,"SR"
"best","47","0.889842105263158",0.2,"SR"
"best","47","0.867105263157895",0.2,"SR"
"best","48","0.945592105263158",0.2,"SR"
"best","48","0.959434210526316",0.2,"SR"
"best","49","0.915013157894737",0.2,"SR"
"best","49","0.950026315789474",0.2,"SR"
"best","50","0.892289473684211",0.2,"SR"
"best","50","0.915644736842105",0.2,"SR"
"best","51","0.935684210526316",0.2,"SR"
"best","51","0.931223684210526",0.2,"SR"
"best","52","0.933776315789474",0.2,"SR"
"best","52","0.912776315789474",0.2,"SR"
"best","53","0.896039473684211",0.2,"SR"
"best","53","0.920907894736842",0.2,"SR"
"best","54","0.86853947368421",0.2,"SR"
"best","54","0.870315789473684",0.2,"SR"
"best","55","0.971631578947368",0.2,"SR"
"best","55","0.945315789473684",0.2,"SR"
"best","56","0.915447368421053",0.2,"SR"
"best","56","0.909131578947368",0.2,"SR"
"best","57","0.953144736842105",0.2,"SR"
"best","57","0.937894736842105",0.2,"SR"
"best","58","0.954236842105263",0.2,"SR"
"best","58","0.906973684210526",0.2,"SR"
"best","59","0.923565789473684",0.2,"SR"
"best","59","0.913736842105263",0.2,"SR"
"best","60","0.962552631578947",0.2,"SR"
"best","60","0.979763157894737",0.2,"SR"
"best","61","0.878907894736842",0.2,"SR"
"best","61","0.883815789473684",0.2,"SR"
"best","62","0.914434210526316",0.2,"SR"
"best","62","0.935355263157895",0.2,"SR"
"best","63","0.923763157894737",0.2,"SR"
"best","63","0.890381578947368",0.2,"SR"
"best","64","0.961131578947368",0.2,"SR"
"best","64","0.937144736842105",0.2,"SR"
"best","65","0.912460526315789",0.2,"SR"
"best","65","0.92703947368421",0.2,"SR"
"best","66","0.911355263157895",0.2,"SR"
"best","66","0.936565789473684",0.2,"SR"
"best","67","0.966381578947368",0.2,"SR"
"best","67","0.972960526315789",0.2,"SR"
"best","68","0.922131578947368",0.2,"SR"
"best","68","0.891118421052632",0.2,"SR"
"best","69","0.938921052631579",0.2,"SR"
"best","69","0.931315789473684",0.2,"SR"
"best","70","0.934881578947368",0.2,"SR"
"best","70","0.944934210526316",0.2,"SR"
"best","71","0.930684210526316",0.2,"SR"
"best","71","0.941144736842105",0.2,"SR"
"best","72","0.925078947368421",0.2,"SR"
"best","72","0.950421052631579",0.2,"SR"
"best","73","0.930605263157895",0.2,"SR"
"best","73","0.937434210526316",0.2,"SR"
"best","74","0.950236842105263",0.2,"SR"
"best","74","0.969434210526316",0.2,"SR"
"best","75","0.913552631578947",0.2,"SR"
"best","75","0.928578947368421",0.2,"SR"
"best","76","0.937789473684211",0.2,"SR"
"best","76","0.948828947368421",0.2,"SR"
"best","77","0.898526315789474",0.2,"SR"
"best","77","0.954381578947368",0.2,"SR"
