"model","rep","node","identity","blens","system"
"best","26","6","66.4835164835165",1.6,"RBD"
"poisson","26","5","61.5384615384615",1.6,"RBD"
"poisson","26","6","64.2857142857143",1.6,"RBD"
"RBD","26","5","64.8351648351648",1.6,"RBD"
"RBD","26","6","65.9340659340659",1.6,"RBD"
"best","27","5","69.2307692307692",1.6,"RBD"
"best","27","6","67.5824175824176",1.6,"RBD"
"poisson","27","5","68.1318681318681",1.6,"RBD"
"poisson","27","6","66.4835164835165",1.6,"RBD"
"RBD","27","5","71.978021978022",1.6,"RBD"
"RBD","27","6","65.3846153846154",1.6,"RBD"
"best","28","5","68.6813186813187",1.6,"RBD"
"best","28","6","64.2857142857143",1.6,"RBD"
"poisson","28","5","66.4835164835165",1.6,"RBD"
"poisson","28","6","62.0879120879121",1.6,"RBD"
"RBD","28","5","67.5824175824176",1.6,"RBD"
"RBD","28","6","65.9340659340659",1.6,"RBD"
"best","29","5","65.3846153846154",1.6,"RBD"
"best","29","6","65.3846153846154",1.6,"RBD"
"poisson","29","5","64.8351648351648",1.6,"RBD"
"poisson","29","6","63.7362637362637",1.6,"RBD"
"RBD","29","5","65.3846153846154",1.6,"RBD"
"RBD","29","6","65.3846153846154",1.6,"RBD"
"best","30","5","72.5274725274725",1.6,"RBD"
"best","30","6","72.5274725274725",1.6,"RBD"
"poisson","30","5","70.8791208791209",1.6,"RBD"
"poisson","30","6","71.978021978022",1.6,"RBD"
"RBD","30","5","70.8791208791209",1.6,"RBD"
"RBD","30","6","72.5274725274725",1.6,"RBD"
"best","31","5","66.4835164835165",1.6,"RBD"
"best","31","6","60.989010989011",1.6,"RBD"
"poisson","31","5","64.8351648351648",1.6,"RBD"
"poisson","31","6","60.989010989011",1.6,"RBD"
"RBD","31","5","68.1318681318681",1.6,"RBD"
"RBD","31","6","68.1318681318681",1.6,"RBD"
"best","32","5","69.2307692307692",1.6,"RBD"
"best","32","6","68.6813186813187",1.6,"RBD"
"poisson","32","5","67.5824175824176",1.6,"RBD"
"poisson","32","6","64.8351648351648",1.6,"RBD"
"RBD","32","5","68.1318681318681",1.6,"RBD"
"RBD","32","6","68.1318681318681",1.6,"RBD"
"best","33","5","74.1758241758242",1.6,"RBD"
"best","33","6","66.4835164835165",1.6,"RBD"
"poisson","33","5","73.6263736263736",1.6,"RBD"
"poisson","33","6","66.4835164835165",1.6,"RBD"
"RBD","33","5","75.8241758241758",1.6,"RBD"
"RBD","33","6","69.2307692307692",1.6,"RBD"
"best","34","5","61.5384615384615",1.6,"RBD"
"best","34","6","66.4835164835165",1.6,"RBD"
"poisson","34","5","60.4395604395604",1.6,"RBD"
"poisson","34","6","64.2857142857143",1.6,"RBD"
"RBD","34","5","65.3846153846154",1.6,"RBD"
"RBD","34","6","69.2307692307692",1.6,"RBD"
"best","35","5","64.2857142857143",1.6,"RBD"
"best","35","6","64.2857142857143",1.6,"RBD"
"poisson","35","5","62.6373626373626",1.6,"RBD"
"poisson","35","6","63.1868131868132",1.6,"RBD"
"RBD","35","5","65.3846153846154",1.6,"RBD"
"RBD","35","6","63.7362637362637",1.6,"RBD"
"best","36","5","69.2307692307692",1.6,"RBD"
"best","36","6","63.7362637362637",1.6,"RBD"
"poisson","36","5","66.4835164835165",1.6,"RBD"
"poisson","36","6","65.3846153846154",1.6,"RBD"
"RBD","36","5","70.8791208791209",1.6,"RBD"
"RBD","36","6","64.2857142857143",1.6,"RBD"
"best","37","5","63.1868131868132",1.6,"RBD"
"best","37","6","66.4835164835165",1.6,"RBD"
"poisson","37","5","61.5384615384615",1.6,"RBD"
"poisson","37","6","65.9340659340659",1.6,"RBD"
"RBD","37","5","65.9340659340659",1.6,"RBD"
"RBD","37","6","67.5824175824176",1.6,"RBD"
"best","38","5","67.032967032967",1.6,"RBD"
"best","38","6","67.032967032967",1.6,"RBD"
"poisson","38","5","63.7362637362637",1.6,"RBD"
"poisson","38","6","67.5824175824176",1.6,"RBD"
"RBD","38","5","68.1318681318681",1.6,"RBD"
"RBD","38","6","68.6813186813187",1.6,"RBD"
"best","39","5","67.032967032967",1.6,"RBD"
"best","39","6","69.7802197802198",1.6,"RBD"
"poisson","39","5","69.2307692307692",1.6,"RBD"
"poisson","39","6","71.978021978022",1.6,"RBD"
"RBD","39","5","65.9340659340659",1.6,"RBD"
"RBD","39","6","70.3296703296703",1.6,"RBD"
"best","40","5","66.4835164835165",1.6,"RBD"
"best","40","6","70.8791208791209",1.6,"RBD"
"poisson","40","5","68.1318681318681",1.6,"RBD"
"poisson","40","6","73.0769230769231",1.6,"RBD"
"RBD","40","5","68.6813186813187",1.6,"RBD"
"RBD","40","6","71.4285714285714",1.6,"RBD"
"best","41","5","70.3296703296703",1.6,"RBD"
"best","41","6","64.2857142857143",1.6,"RBD"
"poisson","41","5","70.8791208791209",1.6,"RBD"
"poisson","41","6","62.6373626373626",1.6,"RBD"
"RBD","41","5","69.2307692307692",1.6,"RBD"
"RBD","41","6","68.6813186813187",1.6,"RBD"
"best","42","5","64.8351648351648",1.6,"RBD"
"best","42","6","68.1318681318681",1.6,"RBD"
"poisson","42","5","64.8351648351648",1.6,"RBD"
"poisson","42","6","66.4835164835165",1.6,"RBD"
"RBD","42","5","66.4835164835165",1.6,"RBD"
"RBD","42","6","68.1318681318681",1.6,"RBD"
"best","43","5","66.4835164835165",1.6,"RBD"
"best","43","6","69.2307692307692",1.6,"RBD"
"poisson","43","5","68.6813186813187",1.6,"RBD"
"poisson","43","6","68.6813186813187",1.6,"RBD"
"RBD","43","5","69.2307692307692",1.6,"RBD"
"RBD","43","6","69.7802197802198",1.6,"RBD"
"best","44","5","73.0769230769231",1.6,"RBD"
"best","44","6","73.0769230769231",1.6,"RBD"
"poisson","44","5","74.1758241758242",1.6,"RBD"
"poisson","44","6","70.3296703296703",1.6,"RBD"
"RBD","44","5","74.1758241758242",1.6,"RBD"
"RBD","44","6","73.6263736263736",1.6,"RBD"
"best","45","5","68.1318681318681",1.6,"RBD"
"best","45","6","67.032967032967",1.6,"RBD"
"poisson","45","5","68.1318681318681",1.6,"RBD"
"poisson","45","6","63.7362637362637",1.6,"RBD"
"RBD","45","5","68.6813186813187",1.6,"RBD"
"RBD","45","6","67.5824175824176",1.6,"RBD"
"best","46","5","70.8791208791209",1.6,"RBD"
"best","46","6","69.2307692307692",1.6,"RBD"
"poisson","46","5","70.8791208791209",1.6,"RBD"
"poisson","46","6","69.7802197802198",1.6,"RBD"
"RBD","46","5","73.0769230769231",1.6,"RBD"
"RBD","46","6","71.978021978022",1.6,"RBD"
"best","47","5","69.7802197802198",1.6,"RBD"
"best","47","6","72.5274725274725",1.6,"RBD"
"poisson","47","5","68.6813186813187",1.6,"RBD"
"poisson","47","6","71.4285714285714",1.6,"RBD"
"RBD","47","5","63.7362637362637",1.6,"RBD"
"RBD","47","6","70.8791208791209",1.6,"RBD"
"best","48","5","71.4285714285714",1.6,"RBD"
"best","48","6","73.0769230769231",1.6,"RBD"
"poisson","48","5","69.7802197802198",1.6,"RBD"
"poisson","48","6","71.978021978022",1.6,"RBD"
"RBD","48","5","69.2307692307692",1.6,"RBD"
"RBD","48","6","65.3846153846154",1.6,"RBD"
"best","49","5","63.7362637362637",1.6,"RBD"
"best","49","6","64.2857142857143",1.6,"RBD"
"poisson","49","5","59.3406593406593",1.6,"RBD"
"poisson","49","6","65.9340659340659",1.6,"RBD"
"RBD","49","5","66.4835164835165",1.6,"RBD"
"RBD","49","6","63.1868131868132",1.6,"RBD"
"best","50","5","64.8351648351648",1.6,"RBD"
"best","50","6","62.6373626373626",1.6,"RBD"
"poisson","50","5","64.8351648351648",1.6,"RBD"
"poisson","50","6","63.1868131868132",1.6,"RBD"
"RBD","50","5","61.5384615384615",1.6,"RBD"
"RBD","50","6","63.7362637362637",1.6,"RBD"
"best","51","5","70.3296703296703",1.6,"RBD"
"best","51","6","67.5824175824176",1.6,"RBD"
"poisson","51","5","70.3296703296703",1.6,"RBD"
"poisson","51","6","68.6813186813187",1.6,"RBD"
"RBD","51","5","70.3296703296703",1.6,"RBD"
"RBD","51","6","69.2307692307692",1.6,"RBD"
"best","52","5","69.2307692307692",1.6,"RBD"
"best","52","6","70.8791208791209",1.6,"RBD"
"poisson","52","5","69.2307692307692",1.6,"RBD"
"poisson","52","6","69.2307692307692",1.6,"RBD"
"RBD","52","5","70.8791208791209",1.6,"RBD"
"RBD","52","6","68.6813186813187",1.6,"RBD"
"best","53","5","67.032967032967",1.6,"RBD"
"best","53","6","69.2307692307692",1.6,"RBD"
"poisson","53","5","70.3296703296703",1.6,"RBD"
"poisson","53","6","68.1318681318681",1.6,"RBD"
"RBD","53","5","69.7802197802198",1.6,"RBD"
"RBD","53","6","68.6813186813187",1.6,"RBD"
"best","54","5","69.7802197802198",1.6,"RBD"
"best","54","6","72.5274725274725",1.6,"RBD"
"poisson","54","5","69.7802197802198",1.6,"RBD"
"poisson","54","6","72.5274725274725",1.6,"RBD"
"RBD","54","5","68.6813186813187",1.6,"RBD"
"RBD","54","6","71.4285714285714",1.6,"RBD"
"best","55","5","66.4835164835165",1.6,"RBD"
"best","55","6","65.9340659340659",1.6,"RBD"
"poisson","55","5","65.3846153846154",1.6,"RBD"
"poisson","55","6","67.032967032967",1.6,"RBD"
"RBD","55","5","68.1318681318681",1.6,"RBD"
"RBD","55","6","68.1318681318681",1.6,"RBD"
"best","56","5","68.6813186813187",1.6,"RBD"
"best","56","6","68.1318681318681",1.6,"RBD"
"poisson","56","5","65.3846153846154",1.6,"RBD"
"poisson","56","6","66.4835164835165",1.6,"RBD"
"RBD","56","5","65.9340659340659",1.6,"RBD"
"RBD","56","6","66.4835164835165",1.6,"RBD"
"best","57","5","70.3296703296703",1.6,"RBD"
"best","57","6","64.2857142857143",1.6,"RBD"
"poisson","57","5","68.1318681318681",1.6,"RBD"
"poisson","57","6","63.1868131868132",1.6,"RBD"
"RBD","57","5","70.3296703296703",1.6,"RBD"
"RBD","57","6","65.3846153846154",1.6,"RBD"
"best","58","5","70.3296703296703",1.6,"RBD"
"best","58","6","73.6263736263736",1.6,"RBD"
"poisson","58","5","70.8791208791209",1.6,"RBD"
"poisson","58","6","71.978021978022",1.6,"RBD"
"RBD","58","5","66.4835164835165",1.6,"RBD"
"RBD","58","6","74.7252747252747",1.6,"RBD"
"best","59","5","72.5274725274725",1.6,"RBD"
"best","59","6","75.2747252747253",1.6,"RBD"
"poisson","59","5","70.3296703296703",1.6,"RBD"
"poisson","59","6","71.4285714285714",1.6,"RBD"
"RBD","59","5","71.4285714285714",1.6,"RBD"
"RBD","59","6","71.4285714285714",1.6,"RBD"
"best","60","5","70.8791208791209",1.6,"RBD"
"best","60","6","68.6813186813187",1.6,"RBD"
"poisson","60","5","69.2307692307692",1.6,"RBD"
"poisson","60","6","70.3296703296703",1.6,"RBD"
"RBD","60","5","73.0769230769231",1.6,"RBD"
"RBD","60","6","71.978021978022",1.6,"RBD"
"best","61","5","68.6813186813187",1.6,"RBD"
"best","61","6","72.5274725274725",1.6,"RBD"
"poisson","61","5","65.3846153846154",1.6,"RBD"
"poisson","61","6","70.8791208791209",1.6,"RBD"
"RBD","61","5","68.6813186813187",1.6,"RBD"
"RBD","61","6","71.978021978022",1.6,"RBD"
"best","62","5","59.3406593406593",1.6,"RBD"
"best","62","6","63.1868131868132",1.6,"RBD"
"poisson","62","5","60.989010989011",1.6,"RBD"
"poisson","62","6","62.6373626373626",1.6,"RBD"
"RBD","62","5","60.989010989011",1.6,"RBD"
"RBD","62","6","64.8351648351648",1.6,"RBD"
"best","63","5","70.8791208791209",1.6,"RBD"
"best","63","6","64.8351648351648",1.6,"RBD"
"poisson","63","5","71.4285714285714",1.6,"RBD"
"poisson","63","6","67.032967032967",1.6,"RBD"
"RBD","63","5","69.2307692307692",1.6,"RBD"
"RBD","63","6","66.4835164835165",1.6,"RBD"
"best","64","5","69.2307692307692",1.6,"RBD"
"best","64","6","68.1318681318681",1.6,"RBD"
"poisson","64","5","69.7802197802198",1.6,"RBD"
"poisson","64","6","69.2307692307692",1.6,"RBD"
"RBD","64","5","68.1318681318681",1.6,"RBD"
"RBD","64","6","68.6813186813187",1.6,"RBD"
"best","65","5","67.032967032967",1.6,"RBD"
"best","65","6","63.7362637362637",1.6,"RBD"
"poisson","65","5","67.032967032967",1.6,"RBD"
"poisson","65","6","63.1868131868132",1.6,"RBD"
"RBD","65","5","70.3296703296703",1.6,"RBD"
"RBD","65","6","67.5824175824176",1.6,"RBD"
"best","66","5","65.9340659340659",1.6,"RBD"
"best","66","6","65.3846153846154",1.6,"RBD"
"poisson","66","5","67.5824175824176",1.6,"RBD"
"poisson","66","6","63.7362637362637",1.6,"RBD"
"RBD","66","5","68.6813186813187",1.6,"RBD"
"RBD","66","6","62.0879120879121",1.6,"RBD"
"best","67","5","65.3846153846154",1.6,"RBD"
"best","67","6","69.2307692307692",1.6,"RBD"
"poisson","67","5","63.7362637362637",1.6,"RBD"
"poisson","67","6","68.6813186813187",1.6,"RBD"
"RBD","67","5","65.9340659340659",1.6,"RBD"
"RBD","67","6","69.2307692307692",1.6,"RBD"
"best","68","5","65.9340659340659",1.6,"RBD"
"best","68","6","63.1868131868132",1.6,"RBD"
"poisson","68","5","67.032967032967",1.6,"RBD"
"poisson","68","6","63.1868131868132",1.6,"RBD"
"RBD","68","5","63.7362637362637",1.6,"RBD"
"RBD","68","6","63.7362637362637",1.6,"RBD"
"best","69","5","71.978021978022",1.6,"RBD"
"best","69","6","64.8351648351648",1.6,"RBD"
"poisson","69","5","70.8791208791209",1.6,"RBD"
"poisson","69","6","67.032967032967",1.6,"RBD"
"RBD","69","5","66.4835164835165",1.6,"RBD"
"RBD","69","6","65.3846153846154",1.6,"RBD"
"best","70","5","67.032967032967",1.6,"RBD"
"best","70","6","64.8351648351648",1.6,"RBD"
"poisson","70","5","65.3846153846154",1.6,"RBD"
"poisson","70","6","62.6373626373626",1.6,"RBD"
"RBD","70","5","65.9340659340659",1.6,"RBD"
"RBD","70","6","63.1868131868132",1.6,"RBD"
"best","71","5","69.2307692307692",1.6,"RBD"
"best","71","6","69.2307692307692",1.6,"RBD"
"poisson","71","5","68.6813186813187",1.6,"RBD"
"poisson","71","6","70.3296703296703",1.6,"RBD"
"RBD","71","5","70.3296703296703",1.6,"RBD"
"RBD","71","6","69.2307692307692",1.6,"RBD"
"best","72","5","66.4835164835165",1.6,"RBD"
"best","72","6","71.4285714285714",1.6,"RBD"
"poisson","72","5","64.2857142857143",1.6,"RBD"
"poisson","72","6","71.978021978022",1.6,"RBD"
"RBD","72","5","70.3296703296703",1.6,"RBD"
"RBD","72","6","74.7252747252747",1.6,"RBD"
"best","73","5","70.8791208791209",1.6,"RBD"
"best","73","6","66.4835164835165",1.6,"RBD"
"poisson","73","5","68.6813186813187",1.6,"RBD"
