"model","rep","mean_max","blens","system"
"best","36","0.984664835164835",0.1,"RBD"
"best","37","0.985401098901099",0.1,"RBD"
"best","37","0.974093406593407",0.1,"RBD"
"best","38","0.959153846153846",0.1,"RBD"
"best","38","0.956587912087912",0.1,"RBD"
"best","39","0.982351648351648",0.1,"RBD"
"best","39","0.971159340659341",0.1,"RBD"
"best","40","0.953714285714286",0.1,"RBD"
"best","40","0.935785714285714",0.1,"RBD"
"best","41","0.972483516483516",0.1,"RBD"
"best","41","0.976159340659341",0.1,"RBD"
"best","42","0.970478021978022",0.1,"RBD"
"best","42","0.965120879120879",0.1,"RBD"
"best","43","0.988934065934066",0.1,"RBD"
"best","43","0.988142857142857",0.1,"RBD"
"best","44","0.976796703296703",0.1,"RBD"
"best","44","0.972796703296703",0.1,"RBD"
"best","45","0.974175824175824",0.1,"RBD"
"best","45","0.966763736263736",0.1,"RBD"
"best","46","0.970587912087912",0.1,"RBD"
"best","46","0.967126373626374",0.1,"RBD"
"best","47","0.969785714285714",0.1,"RBD"
"best","47","0.977236263736264",0.1,"RBD"
"best","48","0.968049450549451",0.1,"RBD"
"best","48","0.970571428571429",0.1,"RBD"
"best","49","0.985554945054945",0.1,"RBD"
"best","49","0.984923076923077",0.1,"RBD"
"best","50","0.96060989010989",0.1,"RBD"
"best","50","0.971252747252747",0.1,"RBD"
"best","51","0.963263736263736",0.1,"RBD"
"best","51","0.96406043956044",0.1,"RBD"
"best","52","0.988324175824176",0.1,"RBD"
"best","52","0.986258241758242",0.1,"RBD"
"best","53","0.954065934065934",0.1,"RBD"
"best","53","0.955038461538462",0.1,"RBD"
"best","54","0.976417582417582",0.1,"RBD"
"best","54","0.967527472527473",0.1,"RBD"
"best","55","0.968901098901099",0.1,"RBD"
"best","55","0.974752747252747",0.1,"RBD"
"best","56","0.989357142857143",0.1,"RBD"
"best","56","0.977532967032967",0.1,"RBD"
"best","57","0.978565934065934",0.1,"RBD"
"best","57","0.985247252747253",0.1,"RBD"
"best","58","0.975241758241758",0.1,"RBD"
"best","58","0.979027472527473",0.1,"RBD"
"best","59","0.951401098901099",0.1,"RBD"
"best","59","0.949857142857143",0.1,"RBD"
"best","60","0.969043956043956",0.1,"RBD"
"best","60","0.966615384615385",0.1,"RBD"
"best","61","0.987818681318681",0.1,"RBD"
"best","61","0.982906593406593",0.1,"RBD"
"best","62","0.975543956043956",0.1,"RBD"
"best","62","0.979021978021978",0.1,"RBD"
"best","63","0.979021978021978",0.1,"RBD"
"best","63","0.975203296703297",0.1,"RBD"
"best","64","0.982230769230769",0.1,"RBD"
"best","64","0.971071428571429",0.1,"RBD"
"best","65","0.979071428571429",0.1,"RBD"
"best","65","0.98239010989011",0.1,"RBD"
"best","66","0.980868131868132",0.1,"RBD"
"best","66","0.974203296703297",0.1,"RBD"
"best","67","0.972324175824176",0.1,"RBD"
"best","67","0.981126373626374",0.1,"RBD"
"best","68","0.961785714285714",0.1,"RBD"
"best","68","0.966774725274725",0.1,"RBD"
"best","69","0.976456043956044",0.1,"RBD"
"best","69","0.983774725274725",0.1,"RBD"
"best","70","0.97478021978022",0.1,"RBD"
"best","70","0.984598901098901",0.1,"RBD"
"best","71","0.971291208791209",0.1,"RBD"
"best","71","0.98378021978022",0.1,"RBD"
"best","72","0.979373626373626",0.1,"RBD"
"best","72","0.977208791208791",0.1,"RBD"
"best","73","0.98806043956044",0.1,"RBD"
"best","73","0.978302197802198",0.1,"RBD"
"best","74","0.963087912087912",0.1,"RBD"
"best","74","0.962972527472527",0.1,"RBD"
"best","75","0.974269230769231",0.1,"RBD"
"best","75","0.967692307692308",0.1,"RBD"
"best","76","0.984763736263736",0.1,"RBD"
"best","76","0.981038461538462",0.1,"RBD"
"best","77","0.983494505494505",0.1,"RBD"
"best","77","0.98282967032967",0.1,"RBD"
"best","78","0.967274725274725",0.1,"RBD"
"best","78","0.971054945054945",0.1,"RBD"
"best","79","0.96467032967033",0.1,"RBD"
"best","79","0.96271978021978",0.1,"RBD"
"best","80","0.97493956043956",0.1,"RBD"
"best","80","0.97617032967033",0.1,"RBD"
"best","81","0.97667032967033",0.1,"RBD"
"best","81","0.97793956043956",0.1,"RBD"
"best","82","0.968318681318681",0.1,"RBD"
"best","82","0.977527472527473",0.1,"RBD"
"best","83","0.982302197802198",0.1,"RBD"
"best","83","0.972340659340659",0.1,"RBD"
"best","84","0.947945054945055",0.1,"RBD"
"best","84","0.950505494505494",0.1,"RBD"
"best","85","0.993274725274725",0.1,"RBD"
"best","85","0.992098901098901",0.1,"RBD"
"best","86","0.960752747252747",0.1,"RBD"
"best","86","0.982274725274725",0.1,"RBD"
"best","87","0.973565934065934",0.1,"RBD"
"best","87","0.979983516483516",0.1,"RBD"
"best","88","0.969582417582418",0.1,"RBD"
"best","88","0.968483516483516",0.1,"RBD"
"best","89","0.986489010989011",0.1,"RBD"
"best","89","0.98910989010989",0.1,"RBD"
"best","90","0.980302197802198",0.1,"RBD"
"best","90","0.972192307692308",0.1,"RBD"
"best","91","0.977318681318681",0.1,"RBD"
"best","91","0.980692307692308",0.1,"RBD"
"best","92","0.988467032967033",0.1,"RBD"
"best","92","0.981478021978022",0.1,"RBD"
"best","93","0.968615384615385",0.1,"RBD"
"best","93","0.968467032967033",0.1,"RBD"
"best","94","0.98439010989011",0.1,"RBD"
"best","94","0.979236263736264",0.1,"RBD"
"best","95","0.971032967032967",0.1,"RBD"
"best","95","0.960318681318681",0.1,"RBD"
"best","96","0.980087912087912",0.1,"RBD"
"best","96","0.979807692307692",0.1,"RBD"
"best","97","0.977197802197802",0.1,"RBD"
"best","97","0.975697802197802",0.1,"RBD"
"best","98","0.992549450549451",0.1,"RBD"
"best","98","0.991142857142857",0.1,"RBD"
"best","99","0.972071428571429",0.1,"RBD"
"best","99","0.979681318681319",0.1,"RBD"
"best","100","0.964054945054945",0.1,"RBD"
"best","100","0.971203296703297",0.1,"RBD"
"best","101","0.978126373626374",0.1,"RBD"
"best","101","0.977747252747253",0.1,"RBD"
"best","102","0.9715",0.1,"RBD"
"best","102","0.971736263736264",0.1,"RBD"
"best","103","0.96910989010989",0.1,"RBD"
"best","103","0.961335164835165",0.1,"RBD"
"best","104","0.974824175824176",0.1,"RBD"
"best","104","0.978203296703297",0.1,"RBD"
"best","105","0.989961538461538",0.1,"RBD"
"best","105","0.98343956043956",0.1,"RBD"
"best","106","0.950142857142857",0.1,"RBD"
"best","106","0.958461538461538",0.1,"RBD"
"best","107","0.977796703296703",0.1,"RBD"
"best","107","0.982016483516484",0.1,"RBD"
"best","108","0.979791208791209",0.1,"RBD"
"best","108","0.98132967032967",0.1,"RBD"
"best","109","0.954340659340659",0.1,"RBD"
"best","109","0.966368131868132",0.1,"RBD"
"best","110","0.968225274725275",0.1,"RBD"
"best","110","0.964934065934066",0.1,"RBD"
"best","111","0.971428571428571",0.1,"RBD"
"best","111","0.969818681318681",0.1,"RBD"
"best","112","0.973373626373626",0.1,"RBD"
"best","112","0.958714285714286",0.1,"RBD"
"best","113","0.956802197802198",0.1,"RBD"
"best","113","0.97006043956044",0.1,"RBD"
"best","114","0.990373626373626",0.1,"RBD"
"best","114","0.978598901098901",0.1,"RBD"
