"model","rep","node","identity","blens","system"
"ER","23","5","98.6842105263158",0.05,"SR"
"ER","23","6","98.6842105263158",0.05,"SR"
"kSR","23","5","98.6842105263158",0.05,"SR"
"kSR","23","6","98.6842105263158",0.05,"SR"
"best","24","5","98.6842105263158",0.05,"SR"
"best","24","6","98.6842105263158",0.05,"SR"
"poisson","24","5","98.6842105263158",0.05,"SR"
"poisson","24","6","98.6842105263158",0.05,"SR"
"ER","24","5","100",0.05,"SR"
"ER","24","6","98.6842105263158",0.05,"SR"
"kSR","24","5","98.6842105263158",0.05,"SR"
"kSR","24","6","98.6842105263158",0.05,"SR"
"best","25","5","100",0.05,"SR"
"best","25","6","98.6842105263158",0.05,"SR"
"poisson","25","5","100",0.05,"SR"
"poisson","25","6","97.3684210526316",0.05,"SR"
"ER","25","5","100",0.05,"SR"
"ER","25","6","98.6842105263158",0.05,"SR"
"kSR","25","5","100",0.05,"SR"
"kSR","25","6","98.6842105263158",0.05,"SR"
"best","26","5","98.6842105263158",0.05,"SR"
"best","26","6","98.6842105263158",0.05,"SR"
"poisson","26","5","100",0.05,"SR"
"poisson","26","6","98.6842105263158",0.05,"SR"
"ER","26","5","100",0.05,"SR"
"ER","26","6","100",0.05,"SR"
"kSR","26","5","100",0.05,"SR"
"kSR","26","6","100",0.05,"SR"
"best","27","5","100",0.05,"SR"
"best","27","6","98.6842105263158",0.05,"SR"
"poisson","27","5","100",0.05,"SR"
"poisson","27","6","98.6842105263158",0.05,"SR"
"ER","27","5","100",0.05,"SR"
"ER","27","6","98.6842105263158",0.05,"SR"
"kSR","27","5","100",0.05,"SR"
"kSR","27","6","100",0.05,"SR"
"best","28","5","100",0.05,"SR"
"best","28","6","98.6842105263158",0.05,"SR"
"poisson","28","5","100",0.05,"SR"
"poisson","28","6","98.6842105263158",0.05,"SR"
"ER","28","5","100",0.05,"SR"
"ER","28","6","98.6842105263158",0.05,"SR"
"kSR","28","5","100",0.05,"SR"
"kSR","28","6","98.6842105263158",0.05,"SR"
"best","29","5","100",0.05,"SR"
"best","29","6","100",0.05,"SR"
"poisson","29","5","100",0.05,"SR"
"poisson","29","6","100",0.05,"SR"
"ER","29","5","100",0.05,"SR"
"ER","29","6","100",0.05,"SR"
"kSR","29","5","100",0.05,"SR"
"kSR","29","6","100",0.05,"SR"
"best","30","5","100",0.05,"SR"
"best","30","6","98.6842105263158",0.05,"SR"
"poisson","30","5","100",0.05,"SR"
"poisson","30","6","98.6842105263158",0.05,"SR"
"ER","30","5","100",0.05,"SR"
"ER","30","6","97.3684210526316",0.05,"SR"
"kSR","30","5","100",0.05,"SR"
"kSR","30","6","97.3684210526316",0.05,"SR"
"best","31","5","98.6842105263158",0.05,"SR"
"best","31","6","97.3684210526316",0.05,"SR"
"poisson","31","5","98.6842105263158",0.05,"SR"
"poisson","31","6","97.3684210526316",0.05,"SR"
"ER","31","5","98.6842105263158",0.05,"SR"
"ER","31","6","97.3684210526316",0.05,"SR"
"kSR","31","5","98.6842105263158",0.05,"SR"
"kSR","31","6","97.3684210526316",0.05,"SR"
"best","32","5","98.6842105263158",0.05,"SR"
"best","32","6","98.6842105263158",0.05,"SR"
"poisson","32","5","98.6842105263158",0.05,"SR"
"poisson","32","6","98.6842105263158",0.05,"SR"
"ER","32","5","98.6842105263158",0.05,"SR"
"ER","32","6","98.6842105263158",0.05,"SR"
"kSR","32","5","98.6842105263158",0.05,"SR"
"kSR","32","6","98.6842105263158",0.05,"SR"
"best","33","5","100",0.05,"SR"
"best","33","6","98.6842105263158",0.05,"SR"
"poisson","33","5","100",0.05,"SR"
"poisson","33","6","98.6842105263158",0.05,"SR"
"ER","33","5","100",0.05,"SR"
"ER","33","6","100",0.05,"SR"
"kSR","33","5","100",0.05,"SR"
"kSR","33","6","100",0.05,"SR"
"best","34","5","98.6842105263158",0.05,"SR"
"best","34","6","97.3684210526316",0.05,"SR"
"poisson","34","5","98.6842105263158",0.05,"SR"
"poisson","34","6","97.3684210526316",0.05,"SR"
"ER","34","5","98.6842105263158",0.05,"SR"
"ER","34","6","97.3684210526316",0.05,"SR"
"kSR","34","5","98.6842105263158",0.05,"SR"
"kSR","34","6","97.3684210526316",0.05,"SR"
"best","35","5","100",0.05,"SR"
"best","35","6","100",0.05,"SR"
"poisson","35","5","98.6842105263158",0.05,"SR"
"poisson","35","6","100",0.05,"SR"
"ER","35","5","100",0.05,"SR"
"ER","35","6","100",0.05,"SR"
"kSR","35","5","100",0.05,"SR"
"kSR","35","6","100",0.05,"SR"
"best","36","5","100",0.05,"SR"
"best","36","6","98.6842105263158",0.05,"SR"
"poisson","36","5","98.6842105263158",0.05,"SR"
"poisson","36","6","98.6842105263158",0.05,"SR"
"ER","36","5","100",0.05,"SR"
"ER","36","6","98.6842105263158",0.05,"SR"
"kSR","36","5","100",0.05,"SR"
"kSR","36","6","98.6842105263158",0.05,"SR"
"best","37","5","98.6842105263158",0.05,"SR"
"best","37","6","100",0.05,"SR"
"poisson","37","5","100",0.05,"SR"
"poisson","37","6","100",0.05,"SR"
"ER","37","5","100",0.05,"SR"
"ER","37","6","100",0.05,"SR"
"kSR","37","5","100",0.05,"SR"
"kSR","37","6","100",0.05,"SR"
"best","38","5","100",0.05,"SR"
"best","38","6","98.6842105263158",0.05,"SR"
"poisson","38","5","98.6842105263158",0.05,"SR"
"poisson","38","6","98.6842105263158",0.05,"SR"
"ER","38","5","97.3684210526316",0.05,"SR"
"ER","38","6","98.6842105263158",0.05,"SR"
"kSR","38","5","100",0.05,"SR"
"kSR","38","6","98.6842105263158",0.05,"SR"
"best","39","5","98.6842105263158",0.05,"SR"
"best","39","6","100",0.05,"SR"
"poisson","39","5","98.6842105263158",0.05,"SR"
"poisson","39","6","97.3684210526316",0.05,"SR"
"ER","39","5","98.6842105263158",0.05,"SR"
"ER","39","6","100",0.05,"SR"
"kSR","39","5","97.3684210526316",0.05,"SR"
"kSR","39","6","100",0.05,"SR"
"best","40","5","97.3684210526316",0.05,"SR"
"best","40","6","98.6842105263158",0.05,"SR"
"poisson","40","5","96.0526315789474",0.05,"SR"
"poisson","40","6","97.3684210526316",0.05,"SR"
"ER","40","5","98.6842105263158",0.05,"SR"
"ER","40","6","98.6842105263158",0.05,"SR"
"kSR","40","5","98.6842105263158",0.05,"SR"
"kSR","40","6","98.6842105263158",0.05,"SR"
"best","41","5","98.6842105263158",0.05,"SR"
"best","41","6","100",0.05,"SR"
"poisson","41","5","97.3684210526316",0.05,"SR"
"poisson","41","6","98.6842105263158",0.05,"SR"
"ER","41","5","98.6842105263158",0.05,"SR"
"ER","41","6","100",0.05,"SR"
"kSR","41","5","98.6842105263158",0.05,"SR"
"kSR","41","6","100",0.05,"SR"
"best","42","5","98.6842105263158",0.05,"SR"
"best","42","6","98.6842105263158",0.05,"SR"
"poisson","42","5","98.6842105263158",0.05,"SR"
"poisson","42","6","97.3684210526316",0.05,"SR"
"ER","42","5","98.6842105263158",0.05,"SR"
"ER","42","6","98.6842105263158",0.05,"SR"
"kSR","42","5","98.6842105263158",0.05,"SR"
"kSR","42","6","98.6842105263158",0.05,"SR"
"best","43","5","98.6842105263158",0.05,"SR"
"best","43","6","98.6842105263158",0.05,"SR"
"poisson","43","5","98.6842105263158",0.05,"SR"
"poisson","43","6","98.6842105263158",0.05,"SR"
"ER","43","5","97.3684210526316",0.05,"SR"
"ER","43","6","98.6842105263158",0.05,"SR"
"kSR","43","5","98.6842105263158",0.05,"SR"
"kSR","43","6","98.6842105263158",0.05,"SR"
"best","44","5","100",0.05,"SR"
"best","44","6","100",0.05,"SR"
"poisson","44","5","100",0.05,"SR"
"poisson","44","6","100",0.05,"SR"
"ER","44","5","100",0.05,"SR"
"ER","44","6","100",0.05,"SR"
"kSR","44","5","100",0.05,"SR"
"kSR","44","6","100",0.05,"SR"
"best","45","5","100",0.05,"SR"
"best","45","6","100",0.05,"SR"
"poisson","45","5","98.6842105263158",0.05,"SR"
"poisson","45","6","98.6842105263158",0.05,"SR"
"ER","45","5","100",0.05,"SR"
"ER","45","6","100",0.05,"SR"
"kSR","45","5","100",0.05,"SR"
"kSR","45","6","100",0.05,"SR"
"best","46","5","100",0.05,"SR"
"best","46","6","100",0.05,"SR"
"poisson","46","5","100",0.05,"SR"
"poisson","46","6","100",0.05,"SR"
"ER","46","5","100",0.05,"SR"
"ER","46","6","100",0.05,"SR"
"kSR","46","5","100",0.05,"SR"
"kSR","46","6","100",0.05,"SR"
"best","47","5","98.6842105263158",0.05,"SR"
"best","47","6","98.6842105263158",0.05,"SR"
"poisson","47","5","97.3684210526316",0.05,"SR"
"poisson","47","6","98.6842105263158",0.05,"SR"
"ER","47","5","98.6842105263158",0.05,"SR"
"ER","47","6","98.6842105263158",0.05,"SR"
"kSR","47","5","98.6842105263158",0.05,"SR"
"kSR","47","6","98.6842105263158",0.05,"SR"
"best","48","5","97.3684210526316",0.05,"SR"
"best","48","6","100",0.05,"SR"
"poisson","48","5","98.6842105263158",0.05,"SR"
"poisson","48","6","100",0.05,"SR"
"ER","48","5","98.6842105263158",0.05,"SR"
"ER","48","6","100",0.05,"SR"
"kSR","48","5","98.6842105263158",0.05,"SR"
"kSR","48","6","100",0.05,"SR"
"best","49","5","98.6842105263158",0.05,"SR"
"best","49","6","96.0526315789474",0.05,"SR"
"poisson","49","5","98.6842105263158",0.05,"SR"
"poisson","49","6","96.0526315789474",0.05,"SR"
"ER","49","5","98.6842105263158",0.05,"SR"
"ER","49","6","96.0526315789474",0.05,"SR"
"kSR","49","5","98.6842105263158",0.05,"SR"
"kSR","49","6","96.0526315789474",0.05,"SR"
"best","50","5","97.3684210526316",0.05,"SR"
"best","50","6","100",0.05,"SR"
"poisson","50","5","97.3684210526316",0.05,"SR"
"poisson","50","6","100",0.05,"SR"
"ER","50","5","97.3684210526316",0.05,"SR"
"ER","50","6","100",0.05,"SR"
"kSR","50","5","97.3684210526316",0.05,"SR"
"kSR","50","6","100",0.05,"SR"
"best","51","5","98.6842105263158",0.05,"SR"
"best","51","6","98.6842105263158",0.05,"SR"
"poisson","51","5","97.3684210526316",0.05,"SR"
"poisson","51","6","97.3684210526316",0.05,"SR"
"ER","51","5","98.6842105263158",0.05,"SR"
"ER","51","6","98.6842105263158",0.05,"SR"
"kSR","51","5","98.6842105263158",0.05,"SR"
"kSR","51","6","98.6842105263158",0.05,"SR"
"best","52","5","97.3684210526316",0.05,"SR"
"best","52","6","96.0526315789474",0.05,"SR"
"poisson","52","5","96.0526315789474",0.05,"SR"
"poisson","52","6","96.0526315789474",0.05,"SR"
"ER","52","5","98.6842105263158",0.05,"SR"
"ER","52","6","97.3684210526316",0.05,"SR"
"kSR","52","5","97.3684210526316",0.05,"SR"
"kSR","52","6","96.0526315789474",0.05,"SR"
"best","53","5","98.6842105263158",0.05,"SR"
"best","53","6","100",0.05,"SR"
"poisson","53","5","97.3684210526316",0.05,"SR"
