"model","rep","total_blens","mean_blens","blens","system"
"poisson","69","2.024097","0.4048194",0.8,"HA"
"poisson","70","2.215918","0.4431836",0.8,"HA"
"poisson","71","1.936187","0.3872374",0.8,"HA"
"poisson","72","2.088733","0.4177466",0.8,"HA"
"poisson","73","2.060321","0.4120642",0.8,"HA"
"poisson","74","2.144137","0.4288274",0.8,"HA"
"poisson","75","1.960469","0.3920938",0.8,"HA"
"poisson","76","2.049553","0.4099106",0.8,"HA"
"poisson","77","2.084891","0.4169782",0.8,"HA"
"poisson","78","1.999174","0.3998348",0.8,"HA"
"poisson","79","2.054756","0.4109512",0.8,"HA"
"poisson","80","2.341926","0.4683852",0.8,"HA"
"poisson","81","1.917782","0.3835564",0.8,"HA"
"poisson","82","2.252849","0.4505698",0.8,"HA"
"poisson","83","2.052565","0.410513",0.8,"HA"
"poisson","84","2.059844","0.4119688",0.8,"HA"
"poisson","85","2.037081","0.4074162",0.8,"HA"
"poisson","86","1.987088","0.3974176",0.8,"HA"
"poisson","87","1.851856","0.3703712",0.8,"HA"
"poisson","88","1.989304","0.3978608",0.8,"HA"
"poisson","89","1.892433","0.3784866",0.8,"HA"
"poisson","90","1.9769","0.39538",0.8,"HA"
"poisson","91","1.94908","0.389816",0.8,"HA"
"poisson","92","2.148389","0.4296778",0.8,"HA"
"poisson","93","1.914798","0.3829596",0.8,"HA"
"poisson","94","2.082157","0.4164314",0.8,"HA"
"poisson","95","1.992576","0.3985152",0.8,"HA"
"poisson","96","2.087136","0.4174272",0.8,"HA"
"poisson","97","1.949336","0.3898672",0.8,"HA"
"poisson","98","2.002141","0.4004282",0.8,"HA"
"poisson","99","1.966749","0.3933498",0.8,"HA"
"poisson","100","2.072891","0.4145782",0.8,"HA"
"H1","1","4.350182","0.8700364",0.8,"HA"
"H1","2","4.955994","0.9911988",0.8,"HA"
"H1","3","4.150295","0.830059",0.8,"HA"
"H1","4","3.496066","0.6992132",0.8,"HA"
"H1","5","4.070313","0.8140626",0.8,"HA"
"H1","6","4.182941","0.8365882",0.8,"HA"
"H1","7","3.693485","0.738697",0.8,"HA"
"H1","8","3.953015","0.790603",0.8,"HA"
"H1","9","3.709806","0.7419612",0.8,"HA"
"H1","10","3.688073","0.7376146",0.8,"HA"
"H1","11","3.447607","0.6895214",0.8,"HA"
"H1","12","3.93709","0.787418",0.8,"HA"
"H1","13","4.057061","0.8114122",0.8,"HA"
"H1","14","3.548368","0.7096736",0.8,"HA"
"H1","15","4.011452","0.8022904",0.8,"HA"
"H1","16","4.071318","0.8142636",0.8,"HA"
"H1","17","4.50545","0.90109",0.8,"HA"
"H1","18","4.566142","0.9132284",0.8,"HA"
"H1","19","3.998444","0.7996888",0.8,"HA"
"H1","20","3.805603","0.7611206",0.8,"HA"
"H1","21","4.100665","0.820133",0.8,"HA"
"H1","22","3.635092","0.7270184",0.8,"HA"
"H1","23","4.465195","0.893039",0.8,"HA"
"H1","24","4.250358","0.8500716",0.8,"HA"
"H1","25","4.464681","0.8929362",0.8,"HA"
"H1","26","4.753388","0.9506776",0.8,"HA"
"H1","27","4.344949","0.8689898",0.8,"HA"
"H1","28","4.119636","0.8239272",0.8,"HA"
"H1","29","3.820729","0.7641458",0.8,"HA"
"H1","30","3.958708","0.7917416",0.8,"HA"
"H1","31","4.055683","0.8111366",0.8,"HA"
"H1","32","3.782944","0.7565888",0.8,"HA"
"H1","33","3.820067","0.7640134",0.8,"HA"
"H1","34","4.082249","0.8164498",0.8,"HA"
"H1","35","3.728945","0.745789",0.8,"HA"
"H1","36","4.159065","0.831813",0.8,"HA"
"H1","37","3.388179","0.6776358",0.8,"HA"
"H1","38","4.342229","0.8684458",0.8,"HA"
"H1","39","3.918763","0.7837526",0.8,"HA"
"H1","40","3.86771","0.773542",0.8,"HA"
"H1","41","4.191946","0.8383892",0.8,"HA"
"H1","42","4.101544","0.8203088",0.8,"HA"
"H1","43","4.214312","0.8428624",0.8,"HA"
"H1","44","4.42771","0.885542",0.8,"HA"
"H1","45","4.394599","0.8789198",0.8,"HA"
"H1","46","3.841663","0.7683326",0.8,"HA"
"H1","47","4.444661","0.8889322",0.8,"HA"
"H1","48","4.280862","0.8561724",0.8,"HA"
"H1","49","3.50872","0.701744",0.8,"HA"
"H1","50","3.813181","0.7626362",0.8,"HA"
"H1","51","4.113466","0.8226932",0.8,"HA"
"H1","52","4.225464","0.8450928",0.8,"HA"
"H1","53","4.08073","0.816146",0.8,"HA"
"H1","54","3.993296","0.7986592",0.8,"HA"
"H1","55","4.453006","0.8906012",0.8,"HA"
"H1","56","3.48935","0.69787",0.8,"HA"
"H1","57","3.808755","0.761751",0.8,"HA"
"H1","58","5.005166","1.0010332",0.8,"HA"
"H1","59","4.267792","0.8535584",0.8,"HA"
"H1","60","3.558192","0.7116384",0.8,"HA"
"H1","61","4.488659","0.8977318",0.8,"HA"
"H1","62","4.598177","0.9196354",0.8,"HA"
"H1","63","3.895432","0.7790864",0.8,"HA"
"H1","64","3.59626","0.719252",0.8,"HA"
"H1","65","3.752838","0.7505676",0.8,"HA"
"H1","66","4.361211","0.8722422",0.8,"HA"
"H1","67","4.283202","0.8566404",0.8,"HA"
"H1","68","3.997166","0.7994332",0.8,"HA"
"H1","69","3.716885","0.743377",0.8,"HA"
"H1","70","3.853598","0.7707196",0.8,"HA"
"H1","71","4.171126","0.8342252",0.8,"HA"
"H1","72","3.964461","0.7928922",0.8,"HA"
"H1","73","3.973139","0.7946278",0.8,"HA"
"H1","74","4.612642","0.9225284",0.8,"HA"
"H1","75","3.695139","0.7390278",0.8,"HA"
"H1","76","4.120231","0.8240462",0.8,"HA"
"H1","77","4.073177","0.8146354",0.8,"HA"
"H1","78","3.68562","0.737124",0.8,"HA"
"H1","79","4.077386","0.8154772",0.8,"HA"
"H1","80","4.70156","0.940312",0.8,"HA"
"H1","81","4.125834","0.8251668",0.8,"HA"
"H1","82","3.848826","0.7697652",0.8,"HA"
"H1","83","4.035167","0.8070334",0.8,"HA"
"H1","84","3.827649","0.7655298",0.8,"HA"
